# 16:37 - 17:56 -> 79 min
# Number	beat-frequency [MHz]	sigma [MHz]
771	21.179	0.210448
772	20.612	0.446955
773	26.4027	0.31867
774	24.7507	0.357964
775	17.868	0.354708
776	23.1936	0.226032
777	14.4232	0.411674
778	22.1754	0.188344
779	25.6664	0.346433
780	25.5951	0.22148
781	18.3839	0.139968
782	23.1498	0.28704
783	25.923	0.342381
784	21.9412	0.192237
785	21.7343	0.355569
786	22.1061	0.271851
787	22.3399	0.306187
788	20.6481	0.36149
789	26.1794	0.372822
790	17.4472	0.264289
791	18.1968	0.339278
792	24.9133	0.385394
793	24.3178	0.383357
794	16.8455	0.191237
795	25.634	0.283664
796	18.8081	0.38677
797	18.9394	0.340691
798	25.9512	0.240757
799	25.2958	0.556598
800	20.7803	0.311141
801	21.9035	0.373741
802	20.6146	0.28304
803	22.409	0.28685
804	19.8876	0.384048
805	20.9469	0.386125
806	25.0452	0.187872
807	21.7982	0.36411
808	24.6765	0.30944
809	20.2209	0.445987
810	25.3738	0.308017
811	21.7207	0.274785
812	21.5786	0.368933
813	22.9857	0.25451
814	19.4684	0.365421
815	20.45	0.329374
816	16.6766	0.261246
817	25.1628	0.267882
818	24.4993	0.219702
819	20.5878	0.32
820	20.4056	0.303379
821	22.2405	0.319193
822	27.3285	0.393638
823	24.127	0.460419
825	19.5108	0.372344
826	28.3683	0.274341
827	27.0834	0.164235
828	20.9086	0.352552
829	25.4233	0.446032
830	22.3433	0.238145
831	25.5993	0.219654
832	20.7012	0.214297
833	20.861	0.324669
834	24.9487	0.298879
835	19.5975	0.393124
836	20.0485	0.31891
837	20.1581	0.28436
838	20.4655	0.360886
839	24.9236	0.315127
840	15.6245	0.213596
841	25.6322	0.321541
842	24.4952	0.364456
843	19.3297	0.340071
844	26.3704	0.284829
845	20.0821	0.27872
846	22.8751	0.285303
847	22.5484	0.402523
848	23.845	0.468763
849	22.6595	0.329618
850	21.7049	0.232342
851	26.212	0.357738
852	18.4019	0.321903
853	21.4426	0.33378
854	22.0399	0.411651
855	25.8614	0.295487
856	25.6034	0.329467
857	21.7469	0.325212
858	23.13	0.317577
859	23.0328	0.477533
860	26.3749	0.385829
861	17.3333	0.318496
862	19.0233	0.376215
863	20.8593	0.416148
864	18.7589	0.382404
865	21.4507	0.408455
866	24.1588	0.393393
867	24.1956	0.424431
868	28.5055	0.427522
869	23.3671	0.17046
870	20.4567	0.603713
871	19.8325	0.302843
872	22.0779	0.265391
873	20.5089	0.252291
874	23.2138	0.33686
875	23.4473	0.509234
876	23.4923	0.366897
877	25.5637	0.364699
878	20.8133	0.534525
879	18.6345	0.42604
880	16.2141	0.501755
881	20.3704	0.437662
882	23.6989	0.362399
883	24.4346	0.235413
884	23.958	0.249612
885	18.9469	0.34941
886	24.7763	0.397921
887	24.2589	0.326845
888	21.4189	0.321777
889	23.5798	0.332959
890	22.1326	0.549824
891	23.0766	0.271322
892	28.3986	0.15892
893	21.4948	0.458915
894	17.0295	0.243207
895	21.3323	0.326165
896	15.687	0.254695
897	19.8393	0.415727
898	20.8208	0.466769
899	20.9212	0.333731
900	20.5919	0.337615
901	24.228	0.415408
902	20.8013	0.366035
903	23.6974	0.184991
904	19.0385	0.292995
905	26.9987	0.192684
906	23.7931	0.446176
907	24.4862	0.165716
908	30.7084	0.224199
909	28.9473	0.304939
910	30.6012	0.294523
911	21.4399	0.259922
912	23.7979	0.315356
913	21.5903	0.309704
914	24.3604	0.272821
915	22.1654	0.389523
916	26.602	0.325902
917	20.6818	0.316063
918	21.1221	0.366792
919	24.9081	0.524564
920	24.9045	0.343287
921	19.1073	0.378545
922	23.3982	0.323163
923	24.0661	0.244378
924	23.9092	0.32143
925	24.7432	0.262949
926	25.4845	0.289157
927	22.3171	0.274486
928	19.186	0.320311
929	24.9137	0.39445
930	24.2059	0.315079
931	23.3186	0.238055
932	19.2231	0.530429
933	19.481	0.327968
934	20.6751	0.371541
935	21.6242	0.228988
936	21.2724	0.28091
937	25.7129	0.295317
938	23.1731	0.263314
939	21.9439	0.363867
940	23.7974	0.331877
941	22.1675	0.399678
942	22.5444	0.226288
943	23.1791	0.289555
944	27.808	0.383123
945	27.1305	0.458234
946	14.7655	0.386759
948	24.7814	0.336788
949	21.5269	0.560074
950	20.7905	0.392592
951	25.5202	0.307903
952	23.336	0.33495
953	21.7216	0.363719
954	23.6809	0.323481
955	22.1421	0.431677
956	21.9142	0.113841
957	22.6955	0.373367
958	19.6966	0.295096
959	21.2418	0.324342
960	20.5954	0.312872
961	20.8922	0.311757
962	19.0707	0.314302
963	25.8507	0.256612
964	23.5429	0.449616
965	22.7928	0.314521
966	21.0156	0.25766
967	25.2004	0.297509
968	29.2255	0.272175
969	21.9673	0.227834
970	20.8925	0.382567
971	24.4087	0.358088
972	23.9141	0.398942
973	28.8304	0.350336
974	19.8185	0.277708
975	22.297	0.29292
976	27.9362	0.236142
977	26.2857	0.221537
978	27.8604	0.253332
979	23.9386	0.306999
980	27.7567	0.353192
981	18.0623	0.389385
982	27.9243	0.427871
983	23.1287	0.454797
984	20.9707	0.205433
985	24.7295	0.269436
986	27.071	0.354764
987	26.7079	0.311246
988	18.5957	0.37941
989	23.7773	0.372352
990	25.6883	0.348942
991	22.4451	0.29646
992	22.9557	0.343665
993	19.461	0.413507
994	24.2633	0.334255
995	23.7563	0.289446
996	22.4538	0.35826
997	21.9643	0.320668
998	17.6765	0.310141
999	20.3767	0.47072
1000	22.4217	0.307831
1001	26.8199	0.197765
1002	22.2829	0.337325
1003	19.8719	0.41369
1004	18.2363	0.31116
1005	22.2259	0.244539
1006	23.2007	0.320898
1007	20.8291	0.385541
1008	18.3963	0.234729
1009	20.5366	0.381511
1010	26.8899	0.292295
1011	23.8612	0.364488
1012	23.1961	0.3448
1013	19.4389	0.283679
1014	26.7379	0.280286
1015	22.2469	0.427027
1016	19.7528	0.328853
1017	28.3645	0.186808
1018	25.1853	0.311926
1019	19.011	0.331409
1020	22.9152	0.200569
1021	24.0126	0.263838
1022	19.1648	0.306991
1023	24.9069	0.356384
1024	26.1716	0.245369
1025	26.7688	0.156383
1026	16.6673	0.322968
1027	19.9165	0.27364
1028	30.4591	0.442376
1029	21.9053	0.354233
1030	22.2584	0.268705
1031	21.84	0.240142
1032	18.743	0.371037
1033	23.739	0.30092
1034	19.328	0.343379
1035	26.4114	0.288025
1036	26.61	0.292591
1037	17.3845	0.235436
1038	25.6577	0.302124
1039	25.2883	0.161373
1040	25.2253	0.341706
1041	21.8317	0.531787
1042	23.3541	0.325457
1043	30.1803	0.278789
1044	20.9375	0.396382
1045	20.7703	0.299205
1046	23.9957	0.803829
1047	25.5437	0.311252
1048	23.0993	0.290419
1049	21.6097	0.317743
1050	21.7677	0.492217
1051	24.0195	0.193674
1052	21.5283	0.607214
1053	21.3969	0.257538
1054	18.3416	0.304061
1055	18.1738	0.465008
1056	21.1011	0.178698
1057	23.3153	0.430666
1058	21.5529	0.330722
1059	13.8527	0.519418
1060	24.8052	0.327985
1061	18.0597	0.248792
1062	23.2964	0.329646
1063	23.6849	0.413962
1064	20.9401	0.230403
1065	21.7267	0.23903
1066	22.758	0.321221
1067	22.7784	0.290065
1068	21.7625	0.327246
1069	18.6814	0.407824
1070	20.465	0.302097
1071	21.3662	0.46091
1072	23.9351	0.361769
1073	23.641	0.279146
1074	20.7952	0.252828
1075	20.6942	0.281435
1076	26.8044	0.355582
1077	22.7912	0.301902
1078	23.5931	0.401649
1079	23.0203	0.305147
1080	21.9529	0.324421
1081	24.1066	0.347264
1082	20.8283	0.397825
1083	22.8632	0.349768
1084	19.7264	0.305153
1085	24.3156	0.287643
1086	24.1618	0.321915
1087	22.1344	0.273867
1088	21.6486	0.256187
1089	21.5325	0.299389
1090	22.467	0.397749
1091	18.3466	0.184711
1092	19.929	0.335336
1093	13.4652	0.337894
1094	21.8127	0.33116
1095	22.675	0.42166
1096	19.4445	0.303414
1097	23.9991	0.288078
1098	17.0516	0.213058
1099	20.2403	0.256007
1100	23.5137	0.211891
1101	21.8941	0.217265
1102	23.2372	0.316092
1103	21.9005	0.369356
1104	22.4363	0.207509
1105	23.1881	0.330128
1106	22.7542	0.327929
1107	25.0318	0.291213
1108	21.564	0.357491
1109	25.406	0.218587
1110	18.6603	0.449422
1111	26.2874	0.220605
1112	23.6953	0.279952
1113	27.2443	0.342491
1114	21.9611	0.239129
1115	19.5691	0.295244
1116	21.2776	0.306297
1117	20.715	0.28427
1118	24.6194	0.279292
1119	25.1498	0.505165
1120	21.9677	0.262162
1121	23.4532	0.361542
1122	22.8746	0.35888
1123	17.5762	0.296968
1124	23.1529	0.375376
1125	22.0001	0.390719
1126	24.0082	0.411491
1127	24.6635	0.232114
1128	21.7979	0.327096
1129	24.6135	0.219517
1130	21.9877	0.395583
1131	23.8141	0.298594
1132	17.521	0.395911
1133	21.6028	0.275105
1134	22.7601	0.343686
1135	17.7867	0.29422
1136	18.6481	0.395216
1137	25.655	0.21495
1138	22.8452	0.353999
1139	19.5919	0.437652
1140	20.6065	0.300944
1141	22.3252	0.416146
1142	18.5562	0.261292
1143	25.9903	0.233641
1144	26.229	0.260797
1145	22.8004	0.258727
1146	21.8533	0.437445
1147	25.7903	0.251915
1148	25.6125	0.200321
1149	21.1608	0.284385
1150	21.5142	0.200851
