# 16:11 - 17:16 -> 65 min
# Number	beat-frequency [MHz]	sigma [MHz]
773	15.6413	0.216971
774	9.5308	0.42185
775	14.9161	0.38841
776	8.67635	0.267374
777	13.3359	0.39349
778	18.5058	0.266448
779	12.1767	0.257157
780	18.7039	0.22446
781	13.7123	0.223177
782	14.0213	0.328768
783	11.509	0.389181
784	18.8019	0.182845
785	11.0869	0.34142
786	13.5811	0.470957
787	7.80543	0.471875
788	13.3952	0.172206
789	14.7937	0.223955
790	16.1892	0.325474
791	16.4134	0.165382
792	19.4571	0.205611
793	15.7193	0.292382
794	11.5735	0.358751
795	17.9627	0.190599
796	17.8359	0.18685
797	11.2552	0.319459
798	20.8389	0.229648
799	14.8135	0.233971
800	18.845	0.292159
801	16.5905	0.229866
802	16.2956	0.294084
803	17.7586	0.187069
804	16.6611	0.237548
805	14.5297	0.348361
806	16.302	0.226239
807	8.5896	0.313614
808	17.9519	0.191537
809	14.9211	0.176599
810	20.5843	0.164366
811	18.0798	0.21073
812	19.3913	0.261396
813	12.7521	0.275578
814	16.6543	0.169191
815	14.3547	0.373977
816	13.7212	0.353014
817	6.56028	0.367731
818	10.1711	0.338797
819	15.6584	0.382803
820	12.4788	0.300328
821	5.3956	0.251703
822	11.2	0.359658
823	10.8496	0.271681
824	12.7974	0.320847
825	16.6095	0.299498
826	17.8166	0.233179
827	17.707	0.341869
828	13.5574	0.412821
829	15.6845	0.247278
830	13.5558	0.311853
831	16.9367	0.216288
832	16.7567	0.241174
833	16.8299	0.135458
834	12.1656	0.247538
835	13.9341	0.371524
836	17.0319	0.215122
837	14.9839	0.330943
838	11.8904	0.234644
839	16.2074	0.284457
840	17.1618	0.310244
841	18.8644	0.326137
842	18.8625	0.184229
843	13.6439	0.194979
844	18.4822	0.2673
845	17.7376	0.154094
846	12.2927	0.206834
847	12.9238	0.280017
848	13.9486	0.258395
849	18.8688	0.181686
850	17.3511	0.214382
851	15.356	0.268546
852	13.7923	0.366792
853	15.0248	0.304593
854	12.6096	0.278353
855	8.03279	0.297289
856	10.3729	0.338502
857	10.7307	0.331889
858	10.0818	0.246325
859	16.1249	0.420174
860	13.5097	0.263606
861	13.5953	0.182903
862	17.5332	0.296723
863	15.6522	0.285193
864	15.2101	0.253654
865	14.4253	0.216951
866	18.8693	0.215744
867	17.5057	0.226912
868	7.94063	0.252778
869	11.3491	0.226142
870	14.5104	0.213705
871	13.8175	0.233331
872	15.4329	0.295497
873	17.8588	0.220383
874	12.0675	0.423828
875	16.8102	0.214265
876	12.0779	0.384867
877	15.6886	0.161046
878	9.42473	0.417893
879	14.295	0.242348
880	13.5683	0.297503
881	11.2058	0.237925
882	13.1234	0.215186
883	12.4588	0.21977
884	13.1013	0.238432
885	11.2045	0.370188
886	13.6375	0.388993
887	16.6715	0.251233
888	13.8914	0.174761
889	16.252	0.322716
890	11.7558	0.203406
891	7.4387	0.362814
892	7.66551	0.337504
893	11.8283	0.20345
894	11.2246	0.195589
895	12.5878	0.228528
896	9.81745	0.309179
897	12.6479	0.428495
898	17.3883	0.569695
899	12.8813	0.176096
900	15.0164	0.30557
901	10.7849	0.561189
902	15.2666	0.237937
903	8.91631	0.294106
904	9.51497	0.304134
905	12.5068	0.306865
906	11.4908	0.307641
907	11.602	0.241582
908	13.3278	0.233178
909	13.0275	0.24221
910	12.3142	0.265681
911	16.8618	0.164746
912	8.32189	0.32398
913	15.2137	0.384506
914	11.7316	0.246055
915	7.98833	0.289821
916	4.07219	0.384725
917	3.28549	0.283196
918	3.56373	0.51318
919	7.40856	0.32719
920	1.60147	0.425171
922	10.3188	0.272549
923	6.20335	0.351503
924	5.46552	0.31913
925	9.51134	0.243609
926	7.70273	0.330609
927	7.57998	0.326001
928	6.38964	0.28869
929	4.8111	0.299396
930	10.7317	0.336195
931	9.10213	0.31525
932	8.47469	0.425252
933	15.8364	0.301916
934	11.9902	0.249818
935	12.3313	0.308043
936	13.1704	0.265886
937	14.106	0.183652
938	14.2659	0.25404
939	16.0317	0.392725
940	7.9063	0.532067
941	16.4795	0.202363
942	14.3295	0.180433
943	15.7705	0.265023
944	14.9201	0.193975
945	7.87386	0.17705
946	13.5623	0.296756
947	4.24937	0.42214
948	13.2702	0.27946
949	13.5963	0.153788
950	17.8494	0.187202
951	14.9962	0.224673
952	10.6934	0.307273
953	9.46536	0.324235
954	14.153	0.172988
955	11.3107	0.234666
956	10.9324	0.455534
957	15.2452	0.222805
958	11.1753	0.376821
959	10.712	0.301927
960	15.7026	0.194897
961	10.7501	0.21554
962	4.82851	0.330381
963	6.66965	0.268177
964	9.67385	0.46173
965	12.9288	0.315907
966	8.41028	0.204965
967	8.26402	0.381949
968	12.2486	0.204627
969	6.26637	0.326775
970	10.7176	0.244216
971	9.11504	0.392584
972	10.9971	0.26584
973	13.518	0.210836
974	13.7896	0.371395
975	13.7224	0.331862
976	16.7277	0.269505
977	16.2286	0.218344
978	17.293	0.243994
979	15.759	0.281433
980	13.4336	0.255883
981	10.0718	0.284275
982	18.8499	0.202103
983	10.9216	0.379262
984	12.2863	0.33367
985	12.8989	0.291314
986	12.2423	0.280778
987	11.014	0.249577
988	14.3039	0.170886
989	17.7521	0.495254
990	14.3273	0.266632
991	15.0652	0.171713
992	13.7026	0.229544
993	10.0821	0.238689
994	15.2835	0.226019
995	13.5524	0.256884
996	15.9694	0.156808
997	20.2144	0.181096
998	14.8398	0.324569
999	8.03054	0.357526
1000	16.4972	0.224759
1001	19.2669	0.250923
1002	14.4322	0.307597
1003	14.8151	0.311175
1004	19.8015	0.177234
1005	15.2292	0.276491
1006	13.3459	0.181165
1007	19.4906	0.247231
1008	17.9108	0.224656
1009	15.0441	0.215947
1010	14.1202	0.247055
1011	14.9739	0.460607
1012	16.4485	0.177183
1013	11.5553	0.211649
1014	15.0621	0.157733
1015	17.0041	0.284324
1016	14.6797	0.191057
1017	23.0825	0.235301
1018	21.364	0.17335
1019	18.8482	0.273756
1020	16.675	0.228962
